date,description,amount,account,category
2024-02-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-02-01,REWE Markt Dortmund,-42.08,Girokonto,
2024-02-02,Cafe Central,-5.90,Girokonto,
2024-02-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-02-02,REWE Markt Dortmund,-67.21,Girokonto,
2024-02-05,Stadtwerke Dortmund Strom,-62.16,Girokonto,
2024-02-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-02-06,VRR Abo Ticket,-89.40,Girokonto,
2024-02-08,REWE Markt Dortmund,-50.06,Girokonto,
2024-02-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-02-09,Lieferando Bestellung,-31.78,Girokonto,
2024-02-09,REWE Markt Dortmund,-38.75,Girokonto,
2024-02-10,Lidl Filiale 220,-24.95,Girokonto,
2024-02-12,ALDI Sued,-37.04,Girokonto,
2024-02-12,Barmenia Versicherung,-78.50,Girokonto,
2024-02-12,Lidl Filiale 220,-26.50,Girokonto,
2024-02-14,Domain Hosting Rechnung,-119.00,Girokonto,
2024-02-14,Pizzeria Da Marco,-27.78,Girokonto,
2024-02-19,Netflix.com,-12.99,Girokonto,
2024-02-20,ALDI Sued,-37.27,Girokonto,
2024-02-21,Cafe Central,-12.00,Girokonto,
2024-02-21,Deutsche Bahn Ticket,-86.63,Girokonto,
2024-02-21,Shell Tankstelle,-42.28,Girokonto,
2024-02-21,Spotify AB,-9.99,Girokonto,
2024-02-26,ALDI Sued,-39.65,Girokonto,
2024-02-27,Arbeitgeber GmbH Gehalt,2647.36,Girokonto,
2024-02-28,REWE Markt Dortmund,-20.23,Girokonto,
2024-02-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-02-29,ALDI Sued,-21.83,Girokonto,
2024-02-29,Cafe Central,-11.77,Girokonto,
2024-02-29,Lidl Filiale 220,-24.35,Girokonto,
2024-02-29,Lieferando Bestellung,-13.01,Girokonto,
2024-03-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-03-01,McFit Fitnessstudio,-29.90,Girokonto,
2024-03-02,ALDI Sued,-40.34,Girokonto,
2024-03-02,Amazon Marketplace,-14.81,Girokonto,
2024-03-03,REWE Markt Dortmund,-60.42,Girokonto,
2024-03-04,Stadtwerke Dortmund Strom,-66.08,Girokonto,
2024-03-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-03-08,Cafe Central,-7.37,Girokonto,
2024-03-08,Vodafone Mobilfunk,-19.99,Girokonto,
